original_Store name,original_Address,original_City,original_State,original_Petition File Date (from Store Name),original_NLRB Case Number(s),original_Store Status,original_Vote Count Date,lat,lon,formatted,name,housenumber,street,district,suburb,postcode,city,county,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
4th and 4th,"421 E 400 S. , Salt Lake City, UT, 84111",Salt Lake City,UT,"5/8/2022, 8:00:00 PM",27-RC-295440,Union Win,"7/18/2022, 8:00:00 PM",40.760939,-111.878884,"421 East 400 South, Salt Lake City, UT 84111, United States of America",,421,East 400 South,,Central City,84111,Salt Lake City,Salt Lake County,Utah,UT,United States,us,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
North Perryville & Olde Creek,"3001 North Perryville Road , Rockford, IL, 61114",Rockford,IL,"5/8/2022, 8:00:00 PM",25-RC-295476,Union Win,"7/20/2022, 8:00:00 PM",42.3050402,-88.9785654,"Starbucks, 3001 North Perryville Road, Rockford, IL 61114, United States of America",Starbucks,3001,North Perryville Road,,,61114,Rockford,Winnebago County,Illinois,IL,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Farmingville-North Ocean Ave.,"2280 North Ocean Ave. B, Farmingville, NY, 11738",Farmingville,NY,"5/2/2022, 8:00:00 PM",29-RC-295055,Union Win,"7/25/2022, 8:00:00 PM",40.8260314,-73.0212196,"Starbucks, 2280 North Ocean Avenue, Farmingville, NY 11738, United States of America",Starbucks,2280,North Ocean Avenue,,,11738,Farmingville,Suffolk County,New York,NY,United States,us,0.9,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Shelburne Road,"580 Shelburne Road #9 , South Burlington, VT, 5401",South Burlington,VT,"5/1/2022, 8:00:00 PM",03-RC-294985,Union Win,"7/13/2022, 8:00:00 PM",44.448125295454545,-73.20935768181818,"580 Shelburne Road, Burlington, VT 05401, United States of America",,580,Shelburne Road,,,05401,Burlington,Chittenden County,Vermont,VT,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Madison Park,"4000 East Madison St , Seattle, WA, 98112",Seattle,WA,"5/1/2022, 8:00:00 PM",19-RC-294994,Union Win,"6/29/2022, 8:00:00 PM",47.6341227,-122.2807886,"4000 East Madison Street, Seattle, WA 98112, United States of America",,4000,East Madison Street,Canterbury,Madison Park,98112,Seattle,King County,Washington,WA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Clackamas Crossing,"9610 SE 82nd Avenue , Happy Valley, OR, 97086",Happy Valley,OR,"5/1/2022, 8:00:00 PM",19-RC-295057,Union Win,"7/7/2022, 8:00:00 PM",45.428679,-122.497174,"Happy Valley, OR 97086, United States of America",,,,,,97086,Happy Valley,Clackamas County,Oregon,OR,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ansley Mall,"1544 Piedmont Rd NE # 232, Atlanta, GA, 30324",Atlanta,GA,"5/1/2022, 8:00:00 PM",10-RC-294986,Union Win,"6/21/2022, 8:00:00 PM",33.8184064,-84.3670604,"Piedmont Road Northeast, Atlanta, GA 30324, United States of America",Piedmont Road Northeast,,Piedmont Road Northeast,Lindbergh,,30324,Atlanta,Fulton County,Georgia,GA,United States,us,0.5,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
East Amherst,"9660 Transit Road 101, East Amherst, NY, 14051",East Amherst,NY,"4/27/2022, 8:00:00 PM",03-RC-294786,Union Win,"7/10/2022, 8:00:00 PM",43.032183310867765,-78.69705176577777,"9660 Transit Road, Amherst, NY 14051, United States of America",,9660,Transit Road,,,14051,Town of Amherst,Erie County,New York,NY,United States,us,0.6666666666666667,1,0.6666666666666667,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4147 University Way Avenue,"4147 University Way NE , Seattle, WA, 98105",Seattle,WA,"4/25/2022, 8:00:00 PM",19-RC-294701,Union Win,"6/27/2022, 8:00:00 PM",47.658195,-122.3134196,"Starbucks, 4147 University Way Northeast, Seattle, WA 98105, United States of America",Starbucks,4147,University Way Northeast,West Campus,University District,98105,Seattle,King County,Washington,WA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Cusick & Alcoa,"121 Cusick Rd , Alcoa, TN, 37701",Alcoa,TN,"4/25/2022, 8:00:00 PM",10-RC-294680,Union Win,"7/10/2022, 8:00:00 PM",35.81236344793294,-83.98222466605105,"121 Cusick Road, Alcoa, TN 37701, United States of America",,121,Cusick Road,,,37701,Alcoa,Blount County,Tennessee,TN,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
